TRANSACTION_DATE,ACTIVE_WALLETS
2015-08-07 00:00:00.000,783
2015-08-08 00:00:00.000,591
2015-08-09 00:00:00.000,462
2015-08-10 00:00:00.000,820
2015-08-11 00:00:00.000,2131
2015-08-12 00:00:00.000,580
2015-08-13 00:00:00.000,870
2015-08-14 00:00:00.000,1114
2015-08-15 00:00:00.000,855
2015-08-16 00:00:00.000,765
2015-08-17 00:00:00.000,816
2015-08-18 00:00:00.000,834
2015-08-19 00:00:00.000,822
2015-08-20 00:00:00.000,658
2015-08-21 00:00:00.000,913
2015-08-22 00:00:00.000,839
2015-08-23 00:00:00.000,885
2015-08-24 00:00:00.000,873
2015-08-25 00:00:00.000,950
2015-08-26 00:00:00.000,883
2015-08-27 00:00:00.000,928
2015-08-28 00:00:00.000,919
2015-08-29 00:00:00.000,839
2015-08-30 00:00:00.000,931
2015-08-31 00:00:00.000,947
2015-09-01 00:00:00.000,915
2015-09-02 00:00:00.000,875
2015-09-03 00:00:00.000,778
2015-09-04 00:00:00.000,761
2015-09-05 00:00:00.000,830
2015-09-06 00:00:00.000,965
2015-09-07 00:00:00.000,969
2015-09-08 00:00:00.000,997
2015-09-09 00:00:00.000,979
2015-09-10 00:00:00.000,989
2015-09-11 00:00:00.000,1088
2015-09-12 00:00:00.000,942
2015-09-13 00:00:00.000,954
2015-09-14 00:00:00.000,1013
2015-09-15 00:00:00.000,906
2015-09-16 00:00:00.000,920
2015-09-17 00:00:00.000,981
2015-09-18 00:00:00.000,891
2015-09-19 00:00:00.000,840
2015-09-20 00:00:00.000,904
2015-09-21 00:00:00.000,988
2015-09-22 00:00:00.000,1001
2015-09-23 00:00:00.000,969
2015-09-24 00:00:00.000,1004
2015-09-25 00:00:00.000,974
2015-09-26 00:00:00.000,890
2015-09-27 00:00:00.000,907
2015-09-28 00:00:00.000,1003
2015-09-29 00:00:00.000,962
2015-09-30 00:00:00.000,924
2015-10-01 00:00:00.000,946
2015-10-02 00:00:00.000,857
2015-10-03 00:00:00.000,890
2015-10-04 00:00:00.000,872
2015-10-05 00:00:00.000,871
2015-10-06 00:00:00.000,907
2015-10-07 00:00:00.000,881
2015-10-08 00:00:00.000,865
2015-10-09 00:00:00.000,868
2015-10-10 00:00:00.000,793
2015-10-11 00:00:00.000,840
2015-10-12 00:00:00.000,832
2015-10-13 00:00:00.000,846
2015-10-14 00:00:00.000,956
2015-10-15 00:00:00.000,876
2015-10-16 00:00:00.000,882
2015-10-17 00:00:00.000,867
2015-10-18 00:00:00.000,818
2015-10-19 00:00:00.000,841
2015-10-20 00:00:00.000,837
2015-10-21 00:00:00.000,873
2015-10-22 00:00:00.000,849
2015-10-23 00:00:00.000,956
2015-10-24 00:00:00.000,869
2015-10-25 00:00:00.000,918
2015-10-26 00:00:00.000,986
2015-10-27 00:00:00.000,1149
2015-10-28 00:00:00.000,1167
2015-10-29 00:00:00.000,1269
2015-10-30 00:00:00.000,1315
2015-10-31 00:00:00.000,1222
2015-11-01 00:00:00.000,1157
2015-11-02 00:00:00.000,1332
2015-11-03 00:00:00.000,1248
2015-11-04 00:00:00.000,1241
2015-11-05 00:00:00.000,1288
2015-11-06 00:00:00.000,1241
2015-11-07 00:00:00.000,1176
2015-11-08 00:00:00.000,1187
2015-11-09 00:00:00.000,1342
2015-11-10 00:00:00.000,1270
2015-11-11 00:00:00.000,1260
2015-11-12 00:00:00.000,1214
2015-11-13 00:00:00.000,1194
2015-11-14 00:00:00.000,1240
2015-11-15 00:00:00.000,1219
2015-11-16 00:00:00.000,1269
2015-11-17 00:00:00.000,1306
2015-11-18 00:00:00.000,1304
2015-11-19 00:00:00.000,1280
2015-11-20 00:00:00.000,1068
2015-11-21 00:00:00.000,1097
2015-11-22 00:00:00.000,1027
2015-11-23 00:00:00.000,1137
2015-11-24 00:00:00.000,1127
2015-11-25 00:00:00.000,1123
2015-11-26 00:00:00.000,1140
2015-11-27 00:00:00.000,1030
2015-11-28 00:00:00.000,1047
2015-11-29 00:00:00.000,1078
2015-11-30 00:00:00.000,1006
2015-12-01 00:00:00.000,982
2015-12-02 00:00:00.000,938
2015-12-03 00:00:00.000,1000
2015-12-04 00:00:00.000,965
2015-12-05 00:00:00.000,994
2015-12-06 00:00:00.000,1312
2015-12-07 00:00:00.000,1290
2015-12-08 00:00:00.000,1119
2015-12-09 00:00:00.000,1107
2015-12-10 00:00:00.000,1093
2015-12-11 00:00:00.000,1133
2015-12-12 00:00:00.000,1510
2015-12-13 00:00:00.000,1287
2015-12-14 00:00:00.000,1511
2015-12-15 00:00:00.000,1487
2015-12-16 00:00:00.000,1494
2015-12-17 00:00:00.000,1672
2015-12-18 00:00:00.000,1479
2015-12-19 00:00:00.000,1532
2015-12-20 00:00:00.000,1493
2015-12-21 00:00:00.000,1569
2015-12-22 00:00:00.000,1580
2015-12-23 00:00:00.000,1494
2015-12-24 00:00:00.000,1492
2015-12-25 00:00:00.000,1434
2015-12-26 00:00:00.000,1499
2015-12-27 00:00:00.000,1445
2015-12-28 00:00:00.000,1618
2015-12-29 00:00:00.000,1557
2015-12-30 00:00:00.000,1469
2015-12-31 00:00:00.000,1712
2016-01-01 00:00:00.000,1536
2016-01-02 00:00:00.000,1619
2016-01-03 00:00:00.000,1618
2016-01-04 00:00:00.000,1628
2016-01-05 00:00:00.000,1630
2016-01-06 00:00:00.000,1677
2016-01-07 00:00:00.000,1728
2016-01-08 00:00:00.000,1646
2016-01-09 00:00:00.000,1684
2016-01-10 00:00:00.000,1842
2016-01-11 00:00:00.000,1873
2016-01-12 00:00:00.000,1998
2016-01-13 00:00:00.000,1772
2016-01-14 00:00:00.000,1726
2016-01-15 00:00:00.000,1967
2016-01-16 00:00:00.000,1545
2016-01-17 00:00:00.000,1433
2016-01-18 00:00:00.000,1665
2016-01-19 00:00:00.000,1546
2016-01-20 00:00:00.000,2036
2016-01-21 00:00:00.000,1544
2016-01-22 00:00:00.000,1598
2016-01-23 00:00:00.000,1878
2016-01-24 00:00:00.000,2112
2016-01-25 00:00:00.000,2225
2016-01-26 00:00:00.000,2348
2016-01-27 00:00:00.000,2079
2016-01-28 00:00:00.000,2089
2016-01-29 00:00:00.000,2019
2016-01-30 00:00:00.000,1992
2016-01-31 00:00:00.000,2100
2016-02-01 00:00:00.000,2062
2016-02-02 00:00:00.000,2010
2016-02-03 00:00:00.000,2027
2016-02-04 00:00:00.000,1991
2016-02-05 00:00:00.000,2046
2016-02-06 00:00:00.000,1948
2016-02-07 00:00:00.000,2141
2016-02-08 00:00:00.000,2318
2016-02-09 00:00:00.000,2478
2016-02-10 00:00:00.000,3264
2016-02-11 00:00:00.000,3388
2016-02-12 00:00:00.000,3300
2016-02-13 00:00:00.000,3071
2016-02-14 00:00:00.000,2652
2016-02-15 00:00:00.000,2765
2016-02-16 00:00:00.000,2747
2016-02-17 00:00:00.000,2696
2016-02-18 00:00:00.000,2725
2016-02-19 00:00:00.000,2650
2016-02-20 00:00:00.000,2522
2016-02-21 00:00:00.000,3464
2016-02-22 00:00:00.000,3032
2016-02-23 00:00:00.000,2985
2016-02-24 00:00:00.000,2883
2016-02-25 00:00:00.000,3282
2016-02-26 00:00:00.000,2990
2016-02-27 00:00:00.000,3068
2016-02-28 00:00:00.000,3406
2016-02-29 00:00:00.000,4013
2016-03-01 00:00:00.000,4321
2016-03-02 00:00:00.000,4494
2016-03-03 00:00:00.000,4816
2016-03-04 00:00:00.000,4845
2016-03-05 00:00:00.000,5757
2016-03-06 00:00:00.000,5360
2016-03-07 00:00:00.000,4490
2016-03-08 00:00:00.000,5371
2016-03-09 00:00:00.000,4935
2016-03-10 00:00:00.000,5445
2016-03-11 00:00:00.000,5180
2016-03-12 00:00:00.000,5113
2016-03-13 00:00:00.000,5030
2016-03-14 00:00:00.000,5043
2016-03-15 00:00:00.000,4855
2016-03-16 00:00:00.000,4544
2016-03-17 00:00:00.000,5009
2016-03-18 00:00:00.000,5355
2016-03-19 00:00:00.000,4438
2016-03-20 00:00:00.000,4569
2016-03-21 00:00:00.000,5088
2016-03-22 00:00:00.000,4495
2016-03-23 00:00:00.000,4591
2016-03-24 00:00:00.000,4441
2016-03-25 00:00:00.000,4266
2016-03-26 00:00:00.000,4090
2016-03-27 00:00:00.000,4676
2016-03-28 00:00:00.000,4768
2016-03-29 00:00:00.000,5999
2016-03-30 00:00:00.000,6079
2016-03-31 00:00:00.000,4853
2016-04-01 00:00:00.000,4603
2016-04-02 00:00:00.000,4351
2016-04-03 00:00:00.000,4312
2016-04-04 00:00:00.000,4928
2016-04-05 00:00:00.000,4976
2016-04-06 00:00:00.000,4937
2016-04-07 00:00:00.000,4806
2016-04-08 00:00:00.000,4650
2016-04-09 00:00:00.000,4942
2016-04-10 00:00:00.000,5392
2016-04-11 00:00:00.000,4778
2016-04-12 00:00:00.000,5042
2016-04-13 00:00:00.000,5409
2016-04-14 00:00:00.000,5025
2016-04-15 00:00:00.000,4602
2016-04-16 00:00:00.000,4514
2016-04-17 00:00:00.000,5092
2016-04-18 00:00:00.000,5035
2016-04-19 00:00:00.000,4905
2016-04-20 00:00:00.000,5022
2016-04-21 00:00:00.000,4972
2016-04-22 00:00:00.000,5083
2016-04-23 00:00:00.000,4906
2016-04-24 00:00:00.000,5054
2016-04-25 00:00:00.000,5295
2016-04-26 00:00:00.000,5393
2016-04-27 00:00:00.000,5344
2016-04-28 00:00:00.000,5112
2016-04-29 00:00:00.000,7554
2016-04-30 00:00:00.000,8076
2016-05-01 00:00:00.000,6967
2016-05-02 00:00:00.000,8006
2016-05-03 00:00:00.000,7316
2016-05-04 00:00:00.000,6853
2016-05-05 00:00:00.000,6936
2016-05-06 00:00:00.000,6951
2016-05-07 00:00:00.000,6635
2016-05-08 00:00:00.000,7086
2016-05-09 00:00:00.000,7400
2016-05-10 00:00:00.000,7514
2016-05-11 00:00:00.000,8681
2016-05-12 00:00:00.000,8841
2016-05-13 00:00:00.000,10391
2016-05-14 00:00:00.000,9151
2016-05-15 00:00:00.000,7880
2016-05-16 00:00:00.000,7645
2016-05-17 00:00:00.000,8262
2016-05-18 00:00:00.000,8884
2016-05-19 00:00:00.000,9144
2016-05-20 00:00:00.000,8577
2016-05-21 00:00:00.000,7723
2016-05-22 00:00:00.000,6906
2016-05-23 00:00:00.000,9027
2016-05-24 00:00:00.000,8588
2016-05-25 00:00:00.000,8349
2016-05-26 00:00:00.000,15489
2016-05-27 00:00:00.000,10123
2016-05-28 00:00:00.000,15874
2016-05-29 00:00:00.000,8716
2016-05-30 00:00:00.000,8542
2016-05-31 00:00:00.000,8998
2016-06-01 00:00:00.000,8255
2016-06-02 00:00:00.000,7734
2016-06-03 00:00:00.000,7778
2016-06-04 00:00:00.000,7129
2016-06-05 00:00:00.000,7131
2016-06-06 00:00:00.000,7634
2016-06-07 00:00:00.000,7937
2016-06-08 00:00:00.000,7906
2016-06-09 00:00:00.000,7503
2016-06-10 00:00:00.000,7711
2016-06-11 00:00:00.000,6843
2016-06-12 00:00:00.000,8017
2016-06-13 00:00:00.000,9830
2016-06-14 00:00:00.000,10000
2016-06-15 00:00:00.000,8695
2016-06-16 00:00:00.000,9465
2016-06-17 00:00:00.000,13986
2016-06-18 00:00:00.000,12555
2016-06-19 00:00:00.000,9771
2016-06-20 00:00:00.000,8997
2016-06-21 00:00:00.000,9547
2016-06-22 00:00:00.000,10388
2016-06-23 00:00:00.000,8398
2016-06-24 00:00:00.000,8046
2016-06-25 00:00:00.000,7396
2016-06-26 00:00:00.000,7295
2016-06-27 00:00:00.000,7485
2016-06-28 00:00:00.000,8584
2016-06-29 00:00:00.000,8339
2016-06-30 00:00:00.000,7550
2016-07-01 00:00:00.000,7659
2016-07-02 00:00:00.000,7831
2016-07-03 00:00:00.000,7816
2016-07-04 00:00:00.000,8317
2016-07-05 00:00:00.000,8500
2016-07-06 00:00:00.000,8193
2016-07-07 00:00:00.000,8146
2016-07-08 00:00:00.000,8140
2016-07-09 00:00:00.000,7851
2016-07-10 00:00:00.000,7444
2016-07-11 00:00:00.000,7828
2016-07-12 00:00:00.000,7841
2016-07-13 00:00:00.000,7637
2016-07-14 00:00:00.000,8197
2016-07-15 00:00:00.000,8083
2016-07-16 00:00:00.000,6944
2016-07-17 00:00:00.000,6393
2016-07-18 00:00:00.000,7358
2016-07-19 00:00:00.000,17574
2016-07-20 00:00:00.000,10732
2016-07-21 00:00:00.000,9727
2016-07-22 00:00:00.000,10682
2016-07-23 00:00:00.000,9669
2016-07-24 00:00:00.000,14516
2016-07-25 00:00:00.000,11788
2016-07-26 00:00:00.000,17531
2016-07-27 00:00:00.000,13785
2016-07-28 00:00:00.000,12475
2016-07-29 00:00:00.000,10409
2016-07-30 00:00:00.000,8851
2016-07-31 00:00:00.000,9943
2016-08-01 00:00:00.000,10386
2016-08-02 00:00:00.000,12754
2016-08-03 00:00:00.000,10624
2016-08-04 00:00:00.000,10175
2016-08-05 00:00:00.000,8866
2016-08-06 00:00:00.000,8597
2016-08-07 00:00:00.000,8674
2016-08-08 00:00:00.000,9544
2016-08-09 00:00:00.000,10434
2016-08-10 00:00:00.000,9379
2016-08-11 00:00:00.000,10889
2016-08-12 00:00:00.000,8685
2016-08-13 00:00:00.000,8012
2016-08-14 00:00:00.000,8616
2016-08-15 00:00:00.000,8748
2016-08-16 00:00:00.000,9724
2016-08-17 00:00:00.000,8740
2016-08-18 00:00:00.000,8690
2016-08-19 00:00:00.000,8710
2016-08-20 00:00:00.000,9016
2016-08-21 00:00:00.000,8746
2016-08-22 00:00:00.000,8194
2016-08-23 00:00:00.000,9981
2016-08-24 00:00:00.000,9011
2016-08-25 00:00:00.000,10070
2016-08-26 00:00:00.000,9257
2016-08-27 00:00:00.000,9592
2016-08-28 00:00:00.000,9005
2016-08-29 00:00:00.000,9827
2016-08-30 00:00:00.000,9327
2016-08-31 00:00:00.000,10043
2016-09-01 00:00:00.000,11052
2016-09-02 00:00:00.000,10294
2016-09-03 00:00:00.000,9120
2016-09-04 00:00:00.000,8919
2016-09-05 00:00:00.000,8965
2016-09-06 00:00:00.000,9086
2016-09-07 00:00:00.000,9224
2016-09-08 00:00:00.000,10863
2016-09-09 00:00:00.000,9191
2016-09-10 00:00:00.000,8853
2016-09-11 00:00:00.000,9256
2016-09-12 00:00:00.000,9437
2016-09-13 00:00:00.000,9430
2016-09-14 00:00:00.000,9646
2016-09-15 00:00:00.000,9354
2016-09-16 00:00:00.000,10278
2016-09-17 00:00:00.000,9698
2016-09-18 00:00:00.000,8424
2016-09-19 00:00:00.000,7832
2016-09-20 00:00:00.000,13670
2016-09-21 00:00:00.000,12317
2016-09-22 00:00:00.000,8347
2016-09-23 00:00:00.000,8805
2016-09-24 00:00:00.000,9195
2016-09-25 00:00:00.000,8914
2016-09-26 00:00:00.000,8678
2016-09-27 00:00:00.000,9130
2016-09-28 00:00:00.000,9032
2016-09-29 00:00:00.000,10169
2016-09-30 00:00:00.000,10386
2016-10-01 00:00:00.000,8661
2016-10-02 00:00:00.000,10479
2016-10-03 00:00:00.000,9169
2016-10-04 00:00:00.000,7127
2016-10-05 00:00:00.000,7153
2016-10-06 00:00:00.000,7992
2016-10-07 00:00:00.000,9378
2016-10-08 00:00:00.000,9633
2016-10-09 00:00:00.000,10644
2016-10-10 00:00:00.000,10612
2016-10-11 00:00:00.000,9340
2016-10-12 00:00:00.000,5404
2016-10-13 00:00:00.000,3684
2016-10-14 00:00:00.000,7842
2016-10-15 00:00:00.000,6411
2016-10-16 00:00:00.000,7592
2016-10-17 00:00:00.000,8397
2016-10-18 00:00:00.000,11628
2016-10-19 00:00:00.000,6877
2016-10-20 00:00:00.000,11241
2016-10-21 00:00:00.000,11997
2016-10-22 00:00:00.000,10031
2016-10-23 00:00:00.000,9583
2016-10-24 00:00:00.000,8956
2016-10-25 00:00:00.000,9029
2016-10-26 00:00:00.000,9155
2016-10-27 00:00:00.000,9353
2016-10-28 00:00:00.000,9546
2016-10-29 00:00:00.000,8783
2016-10-30 00:00:00.000,8212
