TRANSACTION_DATE,TOTAL_TRANSACTIONS,SUCCESSFUL_TRANSACTIONS,TOTAL_VALUE,EIP_4844_TRANSACTIONS,EIP_1559_TRANSACTIONS,EIP_2930_TRANSACTIONS,LEGACY_TRANSACTIONS
2015-08-07 00:00:00.000,2050,2035,2008618.53043197,0,0,0,2050
2015-08-08 00:00:00.000,2881,2344,13582968.5363749,0,0,0,2881
2015-08-09 00:00:00.000,1329,1312,1165448.07459555,0,0,0,1329
2015-08-10 00:00:00.000,2037,2027,1670883.90856051,0,0,0,2037
2015-08-11 00:00:00.000,4963,4955,1485696.53360261,0,0,0,4963
2015-08-12 00:00:00.000,2036,2009,747447.449022974,0,0,0,2036
2015-08-13 00:00:00.000,2842,2834,1787810.85400364,0,0,0,2842
2015-08-14 00:00:00.000,3174,3166,2295429.08010175,0,0,0,3174
2015-08-15 00:00:00.000,2284,2269,4631228.96095204,0,0,0,2284
2015-08-16 00:00:00.000,2440,2438,1708588.89573193,0,0,0,2440
2015-08-17 00:00:00.000,2512,2512,2244762.51476953,0,0,0,2512
2015-08-18 00:00:00.000,2494,2493,1548718.91502124,0,0,0,2494
2015-08-19 00:00:00.000,3246,3215,1149581.75229901,0,0,0,3246
2015-08-20 00:00:00.000,2303,2301,417343.963907318,0,0,0,2303
2015-08-21 00:00:00.000,3919,3906,586787.596287859,0,0,0,3919
2015-08-22 00:00:00.000,3579,3574,494463.255099498,0,0,0,3579
2015-08-23 00:00:00.000,4190,4187,497834.958767709,0,0,0,4190
2015-08-24 00:00:00.000,4432,4432,462290.663275758,0,0,0,4432
2015-08-25 00:00:00.000,4487,4470,406454.710412514,0,0,0,4487
2015-08-26 00:00:00.000,4156,4153,439388.496462969,0,0,0,4156
2015-08-27 00:00:00.000,5590,5550,272771.779912736,0,0,0,5590
2015-08-28 00:00:00.000,4758,4757,300452.128644657,0,0,0,4758
2015-08-29 00:00:00.000,4139,4138,430445.055780882,0,0,0,4139
2015-08-30 00:00:00.000,4572,4571,415917.099489805,0,0,0,4572
2015-08-31 00:00:00.000,5196,5194,384849.223365449,0,0,0,5196
2015-09-01 00:00:00.000,5153,5141,1419828.97398114,0,0,0,5153
2015-09-02 00:00:00.000,5195,5189,277552.50871102,0,0,0,5195
2015-09-03 00:00:00.000,4777,4766,556782.655758651,0,0,0,4777
2015-09-04 00:00:00.000,5642,5624,176548.334082386,0,0,0,5642
2015-09-05 00:00:00.000,5519,5509,167475.873020682,0,0,0,5519
2015-09-06 00:00:00.000,5521,5516,296234.500918829,0,0,0,5521
2015-09-07 00:00:00.000,5702,5696,202522.395873371,0,0,0,5702
2015-09-08 00:00:00.000,5622,5611,263681.393707187,0,0,0,5622
2015-09-09 00:00:00.000,5604,5599,1145836.0424846,0,0,0,5604
2015-09-10 00:00:00.000,5341,5331,206003.560851402,0,0,0,5341
2015-09-11 00:00:00.000,6460,6456,726440.909953091,0,0,0,6460
2015-09-12 00:00:00.000,5596,5582,217733.169845804,0,0,0,5596
2015-09-13 00:00:00.000,6057,6044,224183.039759655,0,0,0,6057
2015-09-14 00:00:00.000,5572,5570,267426.239886722,0,0,0,5572
2015-09-15 00:00:00.000,5409,5406,603437.362543656,0,0,0,5409
2015-09-16 00:00:00.000,5872,5866,555273.844013404,0,0,0,5872
2015-09-17 00:00:00.000,5368,5365,295735.656262093,0,0,0,5368
2015-09-18 00:00:00.000,5802,5782,407806.41537774,0,0,0,5802
2015-09-19 00:00:00.000,5205,5199,390741.950061539,0,0,0,5205
2015-09-20 00:00:00.000,6402,6380,131571.483323998,0,0,0,6402
2015-09-21 00:00:00.000,6305,6303,157710.517787625,0,0,0,6305
2015-09-22 00:00:00.000,6804,6802,194628.994386529,0,0,0,6804
2015-09-23 00:00:00.000,7404,7376,131108.217443618,0,0,0,7404
2015-09-24 00:00:00.000,6224,6218,306723.19862198,0,0,0,6224
2015-09-25 00:00:00.000,5851,5846,661615.555251748,0,0,0,5851
2015-09-26 00:00:00.000,5907,5904,251343.411819128,0,0,0,5907
2015-09-27 00:00:00.000,5760,5747,382901.418119428,0,0,0,5760
2015-09-28 00:00:00.000,6123,6115,713753.821530772,0,0,0,6123
2015-09-29 00:00:00.000,5738,5737,404216.747342163,0,0,0,5738
2015-09-30 00:00:00.000,5870,5866,509759.659572365,0,0,0,5870
2015-10-01 00:00:00.000,6421,6419,538499.154235002,0,0,0,6421
2015-10-02 00:00:00.000,6063,6052,148845.522559232,0,0,0,6063
2015-10-03 00:00:00.000,6112,6112,122973.554002219,0,0,0,6112
2015-10-04 00:00:00.000,6624,6624,277539.340823682,0,0,0,6624
2015-10-05 00:00:00.000,6279,6240,163914.617753147,0,0,0,6279
2015-10-06 00:00:00.000,6458,6456,506641.16352543,0,0,0,6458
2015-10-07 00:00:00.000,7121,7113,310195.809018142,0,0,0,7121
2015-10-08 00:00:00.000,6926,6926,313426.608440727,0,0,0,6926
2015-10-09 00:00:00.000,6763,6761,224249.051217243,0,0,0,6763
2015-10-10 00:00:00.000,6529,6529,128489.080823954,0,0,0,6529
2015-10-11 00:00:00.000,6023,6023,152908.978504288,0,0,0,6023
2015-10-12 00:00:00.000,6593,6571,270873.926099278,0,0,0,6593
2015-10-13 00:00:00.000,6818,6815,411204.332056852,0,0,0,6818
2015-10-14 00:00:00.000,6830,6818,992501.85601963,0,0,0,6830
