TRANSACTION_DATE,TRANSACTION_VOLUME,TRANSACTION_VALUE,ACTIVE_WALLETS,TOTAL_GAS_FEES
2015-08-07 00:00:00.000,2035,2008618.53043197,783,36.946027854
2015-08-08 00:00:00.000,2344,13582968.5363749,591,38.923959576
2015-08-09 00:00:00.000,1312,1165448.07459555,462,13.921272939
2015-08-10 00:00:00.000,2027,1670883.90856051,820,20.838656685
2015-08-11 00:00:00.000,4955,1485696.53360261,2131,11.081971487
2015-08-12 00:00:00.000,2009,747447.449022974,580,30.33145387
2015-08-13 00:00:00.000,2834,1787810.85400364,870,24.628942576
2015-08-14 00:00:00.000,3166,2295429.08010175,1114,14.128216009
2015-08-15 00:00:00.000,2269,4631228.96095204,855,7.37964448
2015-08-16 00:00:00.000,2438,1708588.89573193,765,6.663319469
2015-08-17 00:00:00.000,2512,2244762.51476953,816,7.64281184
2015-08-18 00:00:00.000,2493,1548718.91502124,834,11.90157134
2015-08-19 00:00:00.000,3215,1149581.75229901,822,14.438176838
2015-08-20 00:00:00.000,2301,417343.963907318,658,6.849607107
2015-08-21 00:00:00.000,3906,586787.59628786,913,7.48591454
2015-08-22 00:00:00.000,3574,494463.255099498,839,42.262096122
2015-08-23 00:00:00.000,4187,497834.958767709,885,7.991455533
2015-08-24 00:00:00.000,4432,462290.663275759,873,8.87628542
2015-08-25 00:00:00.000,4470,406454.710412514,950,7.9967849
2015-08-26 00:00:00.000,4153,439388.496462969,883,7.342729279
2015-08-27 00:00:00.000,5550,272771.779912736,928,7.626089063
2015-08-28 00:00:00.000,4757,300452.128644657,919,9.910148371
2015-08-29 00:00:00.000,4138,430445.055780882,839,5.502451526
2015-08-30 00:00:00.000,4571,415917.099489805,931,5.629673742
2015-08-31 00:00:00.000,5194,384849.223365449,947,7.385033814
2015-09-01 00:00:00.000,5141,1419828.97398114,915,7.718930691
2015-09-02 00:00:00.000,5189,277552.50871102,875,8.12644356
2015-09-03 00:00:00.000,4766,556782.655758651,778,6.923775674
2015-09-04 00:00:00.000,5624,176548.334082386,761,9.659093653
2015-09-05 00:00:00.000,5509,167475.873020682,830,9.095599478
2015-09-06 00:00:00.000,5516,296234.500918829,965,8.030987735
2015-09-07 00:00:00.000,5696,202522.395873371,969,9.228776864
2015-09-08 00:00:00.000,5611,263681.393707187,997,10.201836582
2015-09-09 00:00:00.000,5599,1145836.0424846,979,9.588301069
2015-09-10 00:00:00.000,5331,206003.560851402,989,7.835257171
2015-09-11 00:00:00.000,6456,726440.909953091,1088,8.813228153
2015-09-12 00:00:00.000,5582,217733.169845804,942,10.377423169
2015-09-13 00:00:00.000,6044,224183.039759655,954,9.530575674
2015-09-14 00:00:00.000,5570,267426.239886722,1013,9.895548419
2015-09-15 00:00:00.000,5406,603437.362543656,906,8.417877145
2015-09-16 00:00:00.000,5866,555273.844013404,920,15.034617078
2015-09-17 00:00:00.000,5365,295735.656262093,981,8.546273791
2015-09-18 00:00:00.000,5782,407806.41537774,891,10.034821066
2015-09-19 00:00:00.000,5199,390741.950061539,840,7.282204373
2015-09-20 00:00:00.000,6380,131571.483323998,904,9.940645522
2015-09-21 00:00:00.000,6303,157710.517787625,988,10.026241941
2015-09-22 00:00:00.000,6802,194628.994386529,1001,11.354145176
2015-09-23 00:00:00.000,7376,131108.217443618,969,10.472267105
2015-09-24 00:00:00.000,6218,306723.19862198,1004,10.288357667
2015-09-25 00:00:00.000,5846,661615.555251748,974,9.701044916
2015-09-26 00:00:00.000,5904,251343.411819128,890,9.285996479
2015-09-27 00:00:00.000,5747,382901.418119428,907,7.485823127
2015-09-28 00:00:00.000,6115,713753.821530772,1003,9.092960009
2015-09-29 00:00:00.000,5737,404216.747342163,962,8.870363521
2015-09-30 00:00:00.000,5866,509759.659572365,924,7.915827116
2015-10-01 00:00:00.000,6419,538499.154235002,946,8.765849463
2015-10-02 00:00:00.000,6052,148845.522559232,857,9.715796663
2015-10-03 00:00:00.000,6112,122973.554002219,890,9.791648364
2015-10-04 00:00:00.000,6624,277539.340823682,872,9.431925786
2015-10-05 00:00:00.000,6240,163914.617753147,871,9.72690179
