TRANSACTION_DATE,SMART_CONTRACT_INTERACTIONS
2015-08-07 00:00:00.000,2009
2015-08-08 00:00:00.000,2273
2015-08-09 00:00:00.000,1281
2015-08-10 00:00:00.000,1989
2015-08-11 00:00:00.000,4937
2015-08-12 00:00:00.000,1969
2015-08-13 00:00:00.000,2801
2015-08-14 00:00:00.000,3141
2015-08-15 00:00:00.000,2249
2015-08-16 00:00:00.000,2420
2015-08-17 00:00:00.000,2503
2015-08-18 00:00:00.000,2484
2015-08-19 00:00:00.000,3193
2015-08-20 00:00:00.000,2264
2015-08-21 00:00:00.000,3876
2015-08-22 00:00:00.000,3559
2015-08-23 00:00:00.000,4123
2015-08-24 00:00:00.000,4423
2015-08-25 00:00:00.000,4432
2015-08-26 00:00:00.000,4109
2015-08-27 00:00:00.000,5528
2015-08-28 00:00:00.000,4722
2015-08-29 00:00:00.000,4108
2015-08-30 00:00:00.000,4547
2015-08-31 00:00:00.000,5163
2015-09-01 00:00:00.000,5103
2015-09-02 00:00:00.000,5154
2015-09-03 00:00:00.000,4727
2015-09-04 00:00:00.000,5583
2015-09-05 00:00:00.000,5461
2015-09-06 00:00:00.000,5484
2015-09-07 00:00:00.000,5620
2015-09-08 00:00:00.000,5593
2015-09-09 00:00:00.000,5575
2015-09-10 00:00:00.000,5318
2015-09-11 00:00:00.000,6435
2015-09-12 00:00:00.000,5546
2015-09-13 00:00:00.000,6004
2015-09-14 00:00:00.000,5540
2015-09-15 00:00:00.000,5390
2015-09-16 00:00:00.000,5843
2015-09-17 00:00:00.000,5340
2015-09-18 00:00:00.000,5718
2015-09-19 00:00:00.000,5148
2015-09-20 00:00:00.000,6323
2015-09-21 00:00:00.000,6242
2015-09-22 00:00:00.000,6757
2015-09-23 00:00:00.000,7343
2015-09-24 00:00:00.000,6179
2015-09-25 00:00:00.000,5796
2015-09-26 00:00:00.000,5900
2015-09-27 00:00:00.000,5726
2015-09-28 00:00:00.000,6094
2015-09-29 00:00:00.000,5714
2015-09-30 00:00:00.000,5833
2015-10-01 00:00:00.000,6400
2015-10-02 00:00:00.000,6042
2015-10-03 00:00:00.000,6101
2015-10-04 00:00:00.000,6619
2015-10-05 00:00:00.000,6187
2015-10-06 00:00:00.000,6439
2015-10-07 00:00:00.000,7094
2015-10-08 00:00:00.000,6912
2015-10-09 00:00:00.000,6750
2015-10-10 00:00:00.000,6519
2015-10-11 00:00:00.000,6011
2015-10-12 00:00:00.000,6506
2015-10-13 00:00:00.000,6762
2015-10-14 00:00:00.000,6770
2015-10-15 00:00:00.000,6399
2015-10-16 00:00:00.000,6730
2015-10-17 00:00:00.000,6505
2015-10-18 00:00:00.000,6423
2015-10-19 00:00:00.000,6543
2015-10-20 00:00:00.000,5864
2015-10-21 00:00:00.000,6151
2015-10-22 00:00:00.000,5892
2015-10-23 00:00:00.000,6741
2015-10-24 00:00:00.000,6230
2015-10-25 00:00:00.000,5663
2015-10-26 00:00:00.000,5877
2015-10-27 00:00:00.000,6655
2015-10-28 00:00:00.000,7292
2015-10-29 00:00:00.000,7738
2015-10-30 00:00:00.000,7820
2015-10-31 00:00:00.000,7471
2015-11-01 00:00:00.000,6868
2015-11-02 00:00:00.000,6507
2015-11-03 00:00:00.000,7348
2015-11-04 00:00:00.000,7000
2015-11-05 00:00:00.000,7431
2015-11-06 00:00:00.000,7820
2015-11-07 00:00:00.000,10842
2015-11-08 00:00:00.000,12324
2015-11-09 00:00:00.000,7656
2015-11-10 00:00:00.000,8052
2015-11-11 00:00:00.000,10173
2015-11-12 00:00:00.000,9334
2015-11-13 00:00:00.000,7825
2015-11-14 00:00:00.000,7182
2015-11-15 00:00:00.000,7134
2015-11-16 00:00:00.000,7402
2015-11-17 00:00:00.000,7115
2015-11-18 00:00:00.000,7330
2015-11-19 00:00:00.000,8830
2015-11-20 00:00:00.000,6327
2015-11-21 00:00:00.000,6778
2015-11-22 00:00:00.000,7053
2015-11-23 00:00:00.000,8205
2015-11-24 00:00:00.000,7104
2015-11-25 00:00:00.000,7073
2015-11-26 00:00:00.000,7262
2015-11-27 00:00:00.000,6628
2015-11-28 00:00:00.000,6776
2015-11-29 00:00:00.000,6826
2015-11-30 00:00:00.000,8937
2015-12-01 00:00:00.000,6742
2015-12-02 00:00:00.000,6465
2015-12-03 00:00:00.000,6913
2015-12-04 00:00:00.000,6803
2015-12-05 00:00:00.000,6712
2015-12-06 00:00:00.000,8922
2015-12-07 00:00:00.000,7087
2015-12-08 00:00:00.000,6650
2015-12-09 00:00:00.000,6962
2015-12-10 00:00:00.000,7360
2015-12-11 00:00:00.000,8043
2015-12-12 00:00:00.000,8168
2015-12-13 00:00:00.000,7322
2015-12-14 00:00:00.000,15453
2015-12-15 00:00:00.000,20323
2015-12-16 00:00:00.000,10269
2015-12-17 00:00:00.000,9507
2015-12-18 00:00:00.000,8917
2015-12-19 00:00:00.000,9263
2015-12-20 00:00:00.000,9565
2015-12-21 00:00:00.000,12001
2015-12-22 00:00:00.000,21000
2015-12-23 00:00:00.000,22708
2015-12-24 00:00:00.000,13478
2015-12-25 00:00:00.000,9503
2015-12-26 00:00:00.000,10690
2015-12-27 00:00:00.000,21853
2015-12-28 00:00:00.000,12319
2015-12-29 00:00:00.000,11283
2015-12-30 00:00:00.000,21621
2015-12-31 00:00:00.000,10257
2016-01-01 00:00:00.000,8205
2016-01-02 00:00:00.000,9140
2016-01-03 00:00:00.000,9248
2016-01-04 00:00:00.000,9420
2016-01-05 00:00:00.000,16374
2016-01-06 00:00:00.000,16992
2016-01-07 00:00:00.000,22013
2016-01-08 00:00:00.000,10888
2016-01-09 00:00:00.000,11681
2016-01-10 00:00:00.000,10255
2016-01-11 00:00:00.000,10843
2016-01-12 00:00:00.000,10822
2016-01-13 00:00:00.000,16127
2016-01-14 00:00:00.000,10612
2016-01-15 00:00:00.000,9820
2016-01-16 00:00:00.000,10618
2016-01-17 00:00:00.000,9703
2016-01-18 00:00:00.000,12883
2016-01-19 00:00:00.000,13379
2016-01-20 00:00:00.000,10548
2016-01-21 00:00:00.000,10631
2016-01-22 00:00:00.000,13752
2016-01-23 00:00:00.000,10941
2016-01-24 00:00:00.000,12710
2016-01-25 00:00:00.000,17038
2016-01-26 00:00:00.000,16448
2016-01-27 00:00:00.000,18646
2016-01-28 00:00:00.000,16682
2016-01-29 00:00:00.000,16309
2016-01-30 00:00:00.000,14584
2016-01-31 00:00:00.000,14089
2016-02-01 00:00:00.000,14110
2016-02-02 00:00:00.000,14230
2016-02-03 00:00:00.000,14213
2016-02-04 00:00:00.000,14273
2016-02-05 00:00:00.000,15137
2016-02-06 00:00:00.000,31319
2016-02-07 00:00:00.000,14215
2016-02-08 00:00:00.000,14585
2016-02-09 00:00:00.000,15451
2016-02-10 00:00:00.000,17068
2016-02-11 00:00:00.000,21057
2016-02-12 00:00:00.000,17984
2016-02-13 00:00:00.000,19242
2016-02-14 00:00:00.000,16564
2016-02-15 00:00:00.000,17085
2016-02-16 00:00:00.000,17431
2016-02-17 00:00:00.000,19854
2016-02-18 00:00:00.000,16865
2016-02-19 00:00:00.000,17762
2016-02-20 00:00:00.000,16630
2016-02-21 00:00:00.000,16964
2016-02-22 00:00:00.000,18066
2016-02-23 00:00:00.000,17954
2016-02-24 00:00:00.000,18776
2016-02-25 00:00:00.000,19395
2016-02-26 00:00:00.000,20352
2016-02-27 00:00:00.000,18883
2016-02-28 00:00:00.000,18930
2016-02-29 00:00:00.000,20138
2016-03-01 00:00:00.000,21651
2016-03-02 00:00:00.000,23474
2016-03-03 00:00:00.000,24727
2016-03-04 00:00:00.000,24146
2016-03-05 00:00:00.000,26942
2016-03-06 00:00:00.000,27535
2016-03-07 00:00:00.000,23163
2016-03-08 00:00:00.000,23939
2016-03-09 00:00:00.000,24366
2016-03-10 00:00:00.000,24694
2016-03-11 00:00:00.000,23022
2016-03-12 00:00:00.000,27696
2016-03-13 00:00:00.000,27989
2016-03-14 00:00:00.000,28347
2016-03-15 00:00:00.000,29106
2016-03-16 00:00:00.000,27421
2016-03-17 00:00:00.000,33425
2016-03-18 00:00:00.000,31704
2016-03-19 00:00:00.000,34698
2016-03-20 00:00:00.000,32293
2016-03-21 00:00:00.000,32312
2016-03-22 00:00:00.000,32781
2016-03-23 00:00:00.000,31541
2016-03-24 00:00:00.000,36677
2016-03-25 00:00:00.000,36640
2016-03-26 00:00:00.000,36497
2016-03-27 00:00:00.000,29872
2016-03-28 00:00:00.000,33467
2016-03-29 00:00:00.000,33723
2016-03-30 00:00:00.000,36380
2016-03-31 00:00:00.000,31363
2016-04-01 00:00:00.000,33160
2016-04-02 00:00:00.000,29129
2016-04-03 00:00:00.000,29469
2016-04-04 00:00:00.000,34417
2016-04-05 00:00:00.000,38970
2016-04-06 00:00:00.000,31665
2016-04-07 00:00:00.000,31682
2016-04-08 00:00:00.000,33896
2016-04-09 00:00:00.000,31839
2016-04-10 00:00:00.000,32150
2016-04-11 00:00:00.000,30219
2016-04-12 00:00:00.000,34583
2016-04-13 00:00:00.000,35554
2016-04-14 00:00:00.000,34698
2016-04-15 00:00:00.000,34875
2016-04-16 00:00:00.000,30424
2016-04-17 00:00:00.000,40142
2016-04-18 00:00:00.000,33422
2016-04-19 00:00:00.000,32570
2016-04-20 00:00:00.000,32815
2016-04-21 00:00:00.000,36172
2016-04-22 00:00:00.000,31573
2016-04-23 00:00:00.000,31760
2016-04-24 00:00:00.000,33960
2016-04-25 00:00:00.000,35293
2016-04-26 00:00:00.000,32243
2016-04-27 00:00:00.000,33195
2016-04-28 00:00:00.000,33341
2016-04-29 00:00:00.000,36054
2016-04-30 00:00:00.000,44230
2016-05-01 00:00:00.000,37170
2016-05-02 00:00:00.000,41170
2016-05-03 00:00:00.000,37497
2016-05-04 00:00:00.000,37184
2016-05-05 00:00:00.000,36993
2016-05-06 00:00:00.000,40142
