TRANSACTION_DATE,TOTAL_TRANSACTION_VALUE
2015-08-07 00:00:00.000,2008618.53043197
2015-08-08 00:00:00.000,13582968.5363749
2015-08-09 00:00:00.000,1165448.07459555
2015-08-10 00:00:00.000,1670883.90856051
2015-08-11 00:00:00.000,1485696.53360261
2015-08-12 00:00:00.000,747447.449022974
2015-08-13 00:00:00.000,1787810.85400364
2015-08-14 00:00:00.000,2295429.08010175
2015-08-15 00:00:00.000,4631228.96095204
2015-08-16 00:00:00.000,1708588.89573193
2015-08-17 00:00:00.000,2244762.51476953
2015-08-18 00:00:00.000,1548718.91502124
2015-08-19 00:00:00.000,1149581.75229901
2015-08-20 00:00:00.000,417343.963907318
2015-08-21 00:00:00.000,586787.596287859
2015-08-22 00:00:00.000,494463.255099498
2015-08-23 00:00:00.000,497834.958767709
2015-08-24 00:00:00.000,462290.663275758
2015-08-25 00:00:00.000,406454.710412514
2015-08-26 00:00:00.000,439388.496462969
2015-08-27 00:00:00.000,272771.779912736
2015-08-28 00:00:00.000,300452.128644657
2015-08-29 00:00:00.000,430445.055780882
2015-08-30 00:00:00.000,415917.099489805
2015-08-31 00:00:00.000,384849.223365449
2015-09-01 00:00:00.000,1419828.97398114
2015-09-02 00:00:00.000,277552.50871102
2015-09-03 00:00:00.000,556782.655758651
2015-09-04 00:00:00.000,176548.334082386
2015-09-05 00:00:00.000,167475.873020682
2015-09-06 00:00:00.000,296234.500918829
2015-09-07 00:00:00.000,202522.395873371
2015-09-08 00:00:00.000,263681.393707187
2015-09-09 00:00:00.000,1145836.0424846
2015-09-10 00:00:00.000,206003.560851402
2015-09-11 00:00:00.000,726440.909953091
2015-09-12 00:00:00.000,217733.169845804
2015-09-13 00:00:00.000,224183.039759655
2015-09-14 00:00:00.000,267426.239886722
2015-09-15 00:00:00.000,603437.362543656
2015-09-16 00:00:00.000,555273.844013404
2015-09-17 00:00:00.000,295735.656262093
2015-09-18 00:00:00.000,407806.41537774
2015-09-19 00:00:00.000,390741.950061539
2015-09-20 00:00:00.000,131571.483323998
2015-09-21 00:00:00.000,157710.517787625
2015-09-22 00:00:00.000,194628.994386529
2015-09-23 00:00:00.000,131108.217443618
2015-09-24 00:00:00.000,306723.19862198
2015-09-25 00:00:00.000,661615.555251748
2015-09-26 00:00:00.000,251343.411819128
2015-09-27 00:00:00.000,382901.418119428
2015-09-28 00:00:00.000,713753.821530772
2015-09-29 00:00:00.000,404216.747342163
2015-09-30 00:00:00.000,509759.659572365
2015-10-01 00:00:00.000,538499.154235002
2015-10-02 00:00:00.000,148845.522559232
2015-10-03 00:00:00.000,122973.554002219
2015-10-04 00:00:00.000,277539.340823682
2015-10-05 00:00:00.000,163914.617753147
2015-10-06 00:00:00.000,506641.16352543
2015-10-07 00:00:00.000,310195.809018142
2015-10-08 00:00:00.000,313426.608440727
2015-10-09 00:00:00.000,224249.051217243
2015-10-10 00:00:00.000,128489.080823954
2015-10-11 00:00:00.000,152908.978504288
2015-10-12 00:00:00.000,270873.926099278
2015-10-13 00:00:00.000,411204.332056852
2015-10-14 00:00:00.000,992501.85601963
2015-10-15 00:00:00.000,799838.402143342
2015-10-16 00:00:00.000,360118.5809828
2015-10-17 00:00:00.000,243852.97010094
2015-10-18 00:00:00.000,181316.17194571
2015-10-19 00:00:00.000,514713.463805207
2015-10-20 00:00:00.000,501597.25891814
2015-10-21 00:00:00.000,697034.053117222
2015-10-22 00:00:00.000,619252.906185133
2015-10-23 00:00:00.000,772941.378004918
2015-10-24 00:00:00.000,99853.588626747
2015-10-25 00:00:00.000,261608.545774202
2015-10-26 00:00:00.000,715460.972496484
2015-10-27 00:00:00.000,1893393.19441964
2015-10-28 00:00:00.000,976137.761683128
2015-10-29 00:00:00.000,517732.066061671
2015-10-30 00:00:00.000,1209372.46419774
2015-10-31 00:00:00.000,276417.565732628
2015-11-01 00:00:00.000,145524.373663244
2015-11-02 00:00:00.000,351730.655255812
2015-11-03 00:00:00.000,594722.046575306
2015-11-04 00:00:00.000,805279.280973941
2015-11-05 00:00:00.000,344177.214608943
2015-11-06 00:00:00.000,938176.632527115
2015-11-07 00:00:00.000,425968.41911174
2015-11-08 00:00:00.000,896689.215294887
2015-11-09 00:00:00.000,946972.71867527
2015-11-10 00:00:00.000,891132.500979902
2015-11-11 00:00:00.000,301403.980114451
2015-11-12 00:00:00.000,280928.179735407
2015-11-13 00:00:00.000,466110.030537512
2015-11-14 00:00:00.000,283612.91365512
2015-11-15 00:00:00.000,175558.320997262
2015-11-16 00:00:00.000,435418.166968016
2015-11-17 00:00:00.000,1157255.45040565
2015-11-18 00:00:00.000,199011.474775912
2015-11-19 00:00:00.000,274429.080972597
2015-11-20 00:00:00.000,194574.871310497
2015-11-21 00:00:00.000,134094.469887511
2015-11-22 00:00:00.000,256032.711626261
2015-11-23 00:00:00.000,684591.954121512
2015-11-24 00:00:00.000,393637.373376515
2015-11-25 00:00:00.000,188350.230413913
2015-11-26 00:00:00.000,970682.711394449
2015-11-27 00:00:00.000,679065.032408979
2015-11-28 00:00:00.000,120693.887101131
2015-11-29 00:00:00.000,190336.976667643
2015-11-30 00:00:00.000,235620.560090737
2015-12-01 00:00:00.000,223148.369114905
2015-12-02 00:00:00.000,294731.526395479
2015-12-03 00:00:00.000,221298.544527577
2015-12-04 00:00:00.000,167907.655393457
2015-12-05 00:00:00.000,143940.210610472
2015-12-06 00:00:00.000,239342.898590542
2015-12-07 00:00:00.000,451666.833938128
2015-12-08 00:00:00.000,177343.55918142
2015-12-09 00:00:00.000,245115.583052414
2015-12-10 00:00:00.000,216567.822794706
2015-12-11 00:00:00.000,319138.868639405
2015-12-12 00:00:00.000,484608.036134611
2015-12-13 00:00:00.000,323458.149910188
2015-12-14 00:00:00.000,308723.049453244
2015-12-15 00:00:00.000,535185.626197708
2015-12-16 00:00:00.000,1458676.34332943
2015-12-17 00:00:00.000,439455.245376793
2015-12-18 00:00:00.000,237303.591429362
2015-12-19 00:00:00.000,227869.063826137
2015-12-20 00:00:00.000,205492.248482464
2015-12-21 00:00:00.000,234198.553986808
2015-12-22 00:00:00.000,237640.766144545
2015-12-23 00:00:00.000,143436.890017948
2015-12-24 00:00:00.000,125579.854961545
2015-12-25 00:00:00.000,68607.36932893
2015-12-26 00:00:00.000,145239.877462704
2015-12-27 00:00:00.000,79394.409217925
2015-12-28 00:00:00.000,441950.57705337
2015-12-29 00:00:00.000,286251.401708103
2015-12-30 00:00:00.000,215186.658638634
2015-12-31 00:00:00.000,389547.036171491
2016-01-01 00:00:00.000,344547.756629631
2016-01-02 00:00:00.000,259240.009990057
2016-01-03 00:00:00.000,370819.993497967
2016-01-04 00:00:00.000,154125.471932754
2016-01-05 00:00:00.000,1036290.68490783
