TRANSACTION_DATE,TRANSACTION_VOLUME
2015-08-07 00:00:00.000,2035
2015-08-08 00:00:00.000,2344
2015-08-09 00:00:00.000,1312
2015-08-10 00:00:00.000,2027
2015-08-11 00:00:00.000,4955
2015-08-12 00:00:00.000,2009
2015-08-13 00:00:00.000,2834
2015-08-14 00:00:00.000,3166
2015-08-15 00:00:00.000,2269
2015-08-16 00:00:00.000,2438
2015-08-17 00:00:00.000,2512
2015-08-18 00:00:00.000,2493
2015-08-19 00:00:00.000,3215
2015-08-20 00:00:00.000,2301
2015-08-21 00:00:00.000,3906
2015-08-22 00:00:00.000,3574
2015-08-23 00:00:00.000,4187
2015-08-24 00:00:00.000,4432
2015-08-25 00:00:00.000,4470
2015-08-26 00:00:00.000,4153
2015-08-27 00:00:00.000,5550
2015-08-28 00:00:00.000,4757
2015-08-29 00:00:00.000,4138
2015-08-30 00:00:00.000,4571
2015-08-31 00:00:00.000,5194
2015-09-01 00:00:00.000,5141
2015-09-02 00:00:00.000,5189
2015-09-03 00:00:00.000,4766
2015-09-04 00:00:00.000,5624
2015-09-05 00:00:00.000,5509
2015-09-06 00:00:00.000,5516
2015-09-07 00:00:00.000,5696
2015-09-08 00:00:00.000,5611
2015-09-09 00:00:00.000,5599
2015-09-10 00:00:00.000,5331
2015-09-11 00:00:00.000,6456
2015-09-12 00:00:00.000,5582
2015-09-13 00:00:00.000,6044
2015-09-14 00:00:00.000,5570
2015-09-15 00:00:00.000,5406
2015-09-16 00:00:00.000,5866
2015-09-17 00:00:00.000,5365
2015-09-18 00:00:00.000,5782
2015-09-19 00:00:00.000,5199
2015-09-20 00:00:00.000,6380
2015-09-21 00:00:00.000,6303
2015-09-22 00:00:00.000,6802
2015-09-23 00:00:00.000,7376
2015-09-24 00:00:00.000,6218
2015-09-25 00:00:00.000,5846
2015-09-26 00:00:00.000,5904
2015-09-27 00:00:00.000,5747
2015-09-28 00:00:00.000,6115
2015-09-29 00:00:00.000,5737
2015-09-30 00:00:00.000,5866
2015-10-01 00:00:00.000,6419
2015-10-02 00:00:00.000,6052
2015-10-03 00:00:00.000,6112
2015-10-04 00:00:00.000,6624
2015-10-05 00:00:00.000,6240
2015-10-06 00:00:00.000,6456
2015-10-07 00:00:00.000,7113
2015-10-08 00:00:00.000,6926
2015-10-09 00:00:00.000,6761
2015-10-10 00:00:00.000,6529
2015-10-11 00:00:00.000,6023
2015-10-12 00:00:00.000,6571
2015-10-13 00:00:00.000,6815
2015-10-14 00:00:00.000,6818
2015-10-15 00:00:00.000,6472
2015-10-16 00:00:00.000,6769
2015-10-17 00:00:00.000,6564
2015-10-18 00:00:00.000,6462
2015-10-19 00:00:00.000,6597
2015-10-20 00:00:00.000,5894
2015-10-21 00:00:00.000,6174
